TimestampLocal,TimestampLocal.total_count,parkade
2015-09-24 0:00,1027,Thunderbird
2015-09-25 0:00,390,Thunderbird
2015-09-26 0:00,1655,Thunderbird
2015-09-27 0:00,1915,Thunderbird
2015-09-28 0:00,1627,Thunderbird
2015-09-29 0:00,1459,Thunderbird
2015-09-30 0:00,353,Thunderbird
2015-10-01 0:00,499,Thunderbird
2015-10-02 0:00,500,Thunderbird
2015-10-03 0:00,1547,Thunderbird
2015-10-04 0:00,2585,Thunderbird
2015-10-05 0:00,1505,Thunderbird
2015-10-06 0:00,1457,Thunderbird
2015-10-07 0:00,1008,Thunderbird
2015-10-08 0:00,435,Thunderbird
2015-10-09 0:00,830,Thunderbird
2015-10-10 0:00,168,Thunderbird
2015-10-11 0:00,1692,Thunderbird
2015-10-12 0:00,1641,Thunderbird
2015-10-13 0:00,1814,Thunderbird
2015-10-14 0:00,1658,Thunderbird
2015-10-15 0:00,684,Thunderbird
2015-10-16 0:00,621,Thunderbird
2015-10-17 0:00,1796,Thunderbird
2015-10-18 0:00,1849,Thunderbird
2015-10-19 0:00,2252,Thunderbird
2015-10-20 0:00,2215,Thunderbird
2015-10-21 0:00,2962,Thunderbird
2015-10-22 0:00,796,Thunderbird
2015-10-23 0:00,656,Thunderbird
2015-10-24 0:00,1781,Thunderbird
2015-10-25 0:00,1860,Thunderbird
2015-10-26 0:00,1573,Thunderbird
2015-10-27 0:00,1382,Thunderbird
2015-10-28 0:00,961,Thunderbird
2015-10-29 0:00,863,Thunderbird
2015-10-30 0:00,379,Thunderbird
2015-10-31 0:00,1588,Thunderbird
2015-11-01 0:00,1473,Thunderbird
2015-11-02 0:00,1367,Thunderbird
2015-11-03 0:00,1742,Thunderbird
2015-11-04 0:00,1524,Thunderbird
2015-11-05 0:00,429,Thunderbird
2015-11-06 0:00,774,Thunderbird
2015-11-07 0:00,1442,Thunderbird
2015-11-08 0:00,1385,Thunderbird
2015-11-09 0:00,958,Thunderbird
2015-11-10 0:00,1126,Thunderbird
2015-11-11 0:00,275,Thunderbird
2015-11-12 0:00,582,Thunderbird
2015-11-13 0:00,465,Thunderbird
2015-11-14 0:00,1902,Thunderbird
2015-11-15 0:00,1559,Thunderbird
2015-11-16 0:00,2068,Thunderbird
2015-11-17 0:00,1652,Thunderbird
2015-11-18 0:00,1164,Thunderbird
2015-11-19 0:00,528,Thunderbird
2015-11-20 0:00,690,Thunderbird
2015-11-21 0:00,1145,Thunderbird
2015-11-22 0:00,1459,Thunderbird
2015-11-23 0:00,1866,Thunderbird
2015-11-24 0:00,2056,Thunderbird
2015-11-25 0:00,1521,Thunderbird
2015-11-26 0:00,595,Thunderbird
2015-11-27 0:00,577,Thunderbird
2015-11-28 0:00,1833,Thunderbird
2015-11-29 0:00,1356,Thunderbird
2015-11-30 0:00,578,Thunderbird
2015-12-01 0:00,1608,Thunderbird
2015-12-02 0:00,975,Thunderbird
2015-12-03 0:00,514,Thunderbird
2015-12-04 0:00,439,Thunderbird
2015-12-05 0:00,1067,Thunderbird
2015-12-06 0:00,2072,Thunderbird
2015-12-07 0:00,1667,Thunderbird
2015-12-08 0:00,1119,Thunderbird
2015-12-09 0:00,1212,Thunderbird
2015-12-10 0:00,525,Thunderbird
2015-12-11 0:00,679,Thunderbird
2015-12-12 0:00,1620,Thunderbird
2015-12-13 0:00,1318,Thunderbird
2015-12-14 0:00,979,Thunderbird
2015-12-15 0:00,1311,Thunderbird
2015-12-16 0:00,917,Thunderbird
2015-12-17 0:00,731,Thunderbird
2015-12-18 0:00,353,Thunderbird
2015-12-19 0:00,644,Thunderbird
2015-12-20 0:00,249,Thunderbird
2015-12-21 0:00,411,Thunderbird
2015-12-22 0:00,595,Thunderbird
2015-12-23 0:00,152,Thunderbird
2015-12-24 0:00,64,Thunderbird
2015-12-25 0:00,41,Thunderbird
2015-12-26 0:00,53,Thunderbird
2015-12-27 0:00,110,Thunderbird
2015-12-28 0:00,120,Thunderbird
2015-12-29 0:00,182,Thunderbird
2015-12-30 0:00,223,Thunderbird
2015-12-31 0:00,92,Thunderbird
2016-01-01 0:00,51,Thunderbird
2016-01-02 0:00,116,Thunderbird
2016-01-03 0:00,662,Thunderbird
2016-01-04 0:00,780,Thunderbird
2016-01-05 0:00,757,Thunderbird
2016-01-06 0:00,637,Thunderbird
2016-01-07 0:00,292,Thunderbird
2016-01-08 0:00,363,Thunderbird
2016-01-09 0:00,1132,Thunderbird
2016-01-10 0:00,2346,Thunderbird
2016-01-11 0:00,2156,Thunderbird
2016-01-12 0:00,1640,Thunderbird
2016-01-13 0:00,1917,Thunderbird
2016-01-14 0:00,572,Thunderbird
2016-01-15 0:00,1988,Thunderbird
2016-01-16 0:00,2078,Thunderbird
2016-01-17 0:00,2635,Thunderbird
2016-01-18 0:00,1654,Thunderbird
2016-01-19 0:00,1757,Thunderbird
2016-01-20 0:00,2019,Thunderbird
2016-01-21 0:00,697,Thunderbird
2016-01-22 0:00,582,Thunderbird
2016-01-23 0:00,1520,Thunderbird
2016-01-24 0:00,1756,Thunderbird
2016-01-25 0:00,1605,Thunderbird
2016-01-26 0:00,1666,Thunderbird
2016-01-27 0:00,1333,Thunderbird
2016-01-28 0:00,673,Thunderbird
2016-01-29 0:00,496,Thunderbird
2016-01-30 0:00,2045,Thunderbird
2016-01-31 0:00,1768,Thunderbird
2016-02-01 0:00,1719,Thunderbird
2016-02-02 0:00,1992,Thunderbird
2016-02-03 0:00,703,Thunderbird
2016-02-04 0:00,305,Thunderbird
2016-02-05 0:00,930,Thunderbird
2016-02-06 0:00,1797,Thunderbird
2016-02-07 0:00,1918,Thunderbird
2016-02-08 0:00,1571,Thunderbird
2016-02-09 0:00,1096,Thunderbird
2016-02-10 0:00,560,Thunderbird
2016-02-11 0:00,496,Thunderbird
2016-02-12 0:00,1333,Thunderbird
2016-02-13 0:00,1329,Thunderbird
2016-02-14 0:00,1365,Thunderbird
2016-02-15 0:00,1340,Thunderbird
2016-02-16 0:00,983,Thunderbird
2016-02-17 0:00,609,Thunderbird
2016-02-18 0:00,755,Thunderbird
2016-02-19 0:00,941,Thunderbird
2016-02-20 0:00,1076,Thunderbird
2016-02-21 0:00,871,Thunderbird
2016-02-22 0:00,913,Thunderbird
2016-02-23 0:00,1173,Thunderbird
2016-02-24 0:00,1134,Thunderbird
2016-02-25 0:00,1466,Thunderbird
2016-02-26 0:00,1390,Thunderbird
2016-02-27 0:00,1078,Thunderbird
2016-02-28 0:00,518,Thunderbird
2016-02-29 0:00,507,Thunderbird
2016-03-01 0:00,1268,Thunderbird
2016-03-02 0:00,1069,Thunderbird
2016-03-03 0:00,1161,Thunderbird
2016-03-04 0:00,469,Thunderbird
2016-03-05 0:00,1267,Thunderbird
2016-03-06 0:00,2039,Thunderbird
2016-03-07 0:00,2008,Thunderbird
2016-03-08 0:00,1410,Thunderbird
2016-03-09 0:00,1823,Thunderbird
2016-03-10 0:00,681,Thunderbird
2016-03-11 0:00,494,Thunderbird
2016-03-12 0:00,1130,Thunderbird
2016-03-13 0:00,1319,Thunderbird
2016-03-14 0:00,2498,Thunderbird
2016-03-15 0:00,1549,Thunderbird
2016-03-16 0:00,1016,Thunderbird
2016-03-17 0:00,529,Thunderbird
2016-03-18 0:00,635,Thunderbird
2016-03-19 0:00,1560,Thunderbird
2016-03-20 0:00,1271,Thunderbird
2016-03-21 0:00,853,Thunderbird
2016-03-22 0:00,1125,Thunderbird
2016-03-23 0:00,1068,Thunderbird
2016-03-24 0:00,379,Thunderbird
2016-03-25 0:00,603,Thunderbird
2016-03-26 0:00,1161,Thunderbird
2016-03-27 0:00,1006,Thunderbird
2016-03-28 0:00,1074,Thunderbird
2016-03-29 0:00,1183,Thunderbird
2016-03-30 0:00,415,Thunderbird
2016-03-31 0:00,800,Thunderbird
2016-04-01 0:00,1233,Thunderbird
2016-04-02 0:00,1284,Thunderbird
2016-04-03 0:00,1212,Thunderbird
2016-04-04 0:00,281,Thunderbird
2016-04-05 0:00,500,Thunderbird
2016-04-06 0:00,1291,Thunderbird
2016-04-07 0:00,2167,Thunderbird
2016-04-08 0:00,2351,Thunderbird
2016-04-09 0:00,1538,Thunderbird
2016-04-10 0:00,629,Thunderbird
2016-04-11 0:00,389,Thunderbird
2016-04-12 0:00,874,Thunderbird
2016-04-13 0:00,1626,Thunderbird
2016-04-14 0:00,1443,Thunderbird
2016-04-15 0:00,1754,Thunderbird
2016-04-16 0:00,1217,Thunderbird
2016-04-17 0:00,1157,Thunderbird
2016-04-18 0:00,348,Thunderbird
2016-04-19 0:00,1366,Thunderbird
2016-04-20 0:00,1733,Thunderbird
2016-04-21 0:00,1642,Thunderbird
2016-04-22 0:00,1184,Thunderbird
2016-04-23 0:00,856,Thunderbird
2016-04-24 0:00,272,Thunderbird
2016-04-25 0:00,469,Thunderbird
2016-04-26 0:00,1250,Thunderbird
2016-04-27 0:00,1631,Thunderbird
2016-04-28 0:00,1133,Thunderbird
2016-04-29 0:00,1832,Thunderbird
2016-04-30 0:00,880,Thunderbird
2016-05-01 0:00,292,Thunderbird
2016-05-02 0:00,520,Thunderbird
2016-05-03 0:00,786,Thunderbird
2016-05-04 0:00,807,Thunderbird
2016-05-05 0:00,527,Thunderbird
2016-05-06 0:00,871,Thunderbird
2016-05-07 0:00,572,Thunderbird
2016-05-08 0:00,291,Thunderbird
2016-05-09 0:00,481,Thunderbird
2016-05-10 0:00,875,Thunderbird
2016-05-11 0:00,739,Thunderbird
2016-05-12 0:00,738,Thunderbird
2016-05-13 0:00,789,Thunderbird
2016-05-14 0:00,436,Thunderbird
2016-05-15 0:00,346,Thunderbird
2016-05-16 0:00,340,Thunderbird
2016-05-17 0:00,992,Thunderbird
2016-05-18 0:00,705,Thunderbird
2016-05-19 0:00,645,Thunderbird
2016-05-20 0:00,721,Thunderbird
2016-05-21 0:00,626,Thunderbird
2016-05-22 0:00,242,Thunderbird
2016-05-23 0:00,362,Thunderbird
2016-05-24 0:00,855,Thunderbird
2016-05-25 0:00,855,Thunderbird
2016-05-26 0:00,681,Thunderbird
2016-05-27 0:00,741,Thunderbird
2016-05-28 0:00,541,Thunderbird
2016-05-29 0:00,201,Thunderbird
2016-05-30 0:00,511,Thunderbird
2016-05-31 0:00,725,Thunderbird
2016-06-01 0:00,837,Thunderbird
2016-06-02 0:00,528,Thunderbird
2016-06-03 0:00,546,Thunderbird
2016-06-04 0:00,414,Thunderbird
2016-06-05 0:00,306,Thunderbird
2016-06-06 0:00,127,Thunderbird
2016-06-07 0:00,901,Thunderbird
2016-06-08 0:00,786,Thunderbird
2016-06-09 0:00,873,Thunderbird
2016-06-10 0:00,1497,Thunderbird
2016-06-11 0:00,949,Thunderbird
2016-06-12 0:00,205,Thunderbird
2016-06-13 0:00,678,Thunderbird
2016-06-14 0:00,1175,Thunderbird
2016-06-15 0:00,885,Thunderbird
2016-06-16 0:00,784,Thunderbird
2016-06-17 0:00,593,Thunderbird
2016-06-18 0:00,201,Thunderbird
2016-06-19 0:00,148,Thunderbird
